Fixture ID,Game Date,Home Team ID,Away Team ID,Home Team Goals,Away Team Goals,Venue,Home Team,Away Team,Home Team Logo,Away Team Logo
193032,2015-05-09,75.0,47.0,3,0,"Britannia Stadium (Stoke-on-Trent, Staffordshire)",Stoke City,Tottenham,https://media.api-sports.io/football/teams/75.png,https://media.api-sports.io/football/teams/47.png
193033,2015-05-09,52.0,33.0,1,2,Selhurst Park (London),Crystal Palace,Manchester United,https://media.api-sports.io/football/teams/52.png,https://media.api-sports.io/football/teams/33.png
193034,2015-05-10,50.0,72.0,6,0,Etihad Stadium (Manchester),Manchester City,QPR,https://media.api-sports.io/football/teams/50.png,https://media.api-sports.io/football/teams/72.png
193035,2015-05-10,49.0,40.0,1,1,Stamford Bridge (London),Chelsea,Liverpool,https://media.api-sports.io/football/teams/49.png,https://media.api-sports.io/football/teams/40.png
193036,2015-05-11,42.0,76.0,0,1,Emirates Stadium (London),Arsenal,Swansea,https://media.api-sports.io/football/teams/42.png,https://media.api-sports.io/football/teams/76.png
193037,2015-05-16,41.0,66.0,6,1,"St. Mary's Stadium (Southampton, Hampshire)",Southampton,Aston Villa,https://media.api-sports.io/football/teams/41.png,https://media.api-sports.io/football/teams/66.png
193038,2015-05-16,44.0,75.0,0,0,Turf Moor (Burnley),Burnley,Stoke City,https://media.api-sports.io/football/teams/44.png,https://media.api-sports.io/football/teams/75.png
193039,2015-05-16,72.0,34.0,2,1,Loftus Road Stadium (London),QPR,Newcastle,https://media.api-sports.io/football/teams/72.png,https://media.api-sports.io/football/teams/34.png
193040,2015-05-16,74.0,46.0,0,0,Stadium of Light (Sunderland),Sunderland,Leicester,https://media.api-sports.io/football/teams/746.png,https://media.api-sports.io/football/teams/46.png
193041,2015-05-16,47.0,64.0,2,0,White Hart Lane (London),Tottenham,Hull City,https://media.api-sports.io/football/teams/47.png,https://media.api-sports.io/football/teams/64.png
193042,2015-05-16,48.0,45.0,1,2,Boleyn Ground (London),West Ham,Everton,https://media.api-sports.io/football/teams/48.png,https://media.api-sports.io/football/teams/45.png
193043,2015-05-16,40.0,52.0,1,3,Anfield (Liverpool),Liverpool,Crystal Palace,https://media.api-sports.io/football/teams/40.png,https://media.api-sports.io/football/teams/52.png
193044,2015-05-17,76.0,50.0,2,4,Liberty Stadium (Swansea),Swansea,Manchester City,https://media.api-sports.io/football/teams/76.png,https://media.api-sports.io/football/teams/50.png
